Car_Name_old,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Matched_Car,Car_Name_new,Power_BHP,Mileage_kmpl,Price_Lakhs,Brand,Brand_Goodwill
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,mercedes-benz g-class,mercedes-benz g-class,451.5,6.0,255.0,mercedes-benz,179.01666666666668
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,toyota camry,toyota camry,184.0,25.0,48.5,toyota,49.07583333333333
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,toyota land cruiser,toyota land cruiser,304.0,19.326771653543307,231.0,toyota,49.07583333333333
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,mercedes-benz g-class,mercedes-benz g-class,451.5,6.0,255.0,mercedes-benz,179.01666666666668
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
royal enfield thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
um renegade mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ktm rc200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ktm rc390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
hyosung gt250r,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ktm rc200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ktm 390 duke,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
mahindra mojo xt300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,mahindra be 6,mahindra be 6,144.33815028901734,19.326771653543307,18.9,mahindra,13.600000000000001
royal enfield classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar rs200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
royal enfield classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cb hornet 160r,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,honda elevate,honda elevate,119.0,15.5,11.95,honda,12.212
yamaha fz s v 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,mercedes-benz maybach s-class,mercedes-benz maybach s-class,549.5,8.0,277.0,mercedes-benz,179.01666666666668
honda cb hornet 160r,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,honda elevate,honda elevate,119.0,15.5,11.95,honda,12.212
yamaha fz 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
tvs apache rtr 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cbr 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,honda city hybrid ehev,honda city hybrid ehev,97.0,27.0,20.89,honda,12.212
hero extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cb hornet 160r,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,honda elevate,honda elevate,119.0,15.5,11.95,honda,12.212
bajaj avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cbr 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,honda city hybrid ehev,honda city hybrid ehev,97.0,27.0,20.89,honda,12.212
bajaj avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
yamaha fz  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
yamaha fz  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar  ns 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
tvs apache rtr 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
hero extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
yamaha fz s v 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,mercedes-benz maybach s-class,mercedes-benz maybach s-class,549.5,8.0,277.0,mercedes-benz,179.01666666666668
bajaj pulsar 220 f,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar 220 f,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
tvs apache rtr 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
hero passion x pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,isuzu mu-x,isuzu mu-x,161.0,19.326771653543307,35.0,isuzu,28.1
bajaj pulsar ns 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar ns 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
yamaha fazer,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda activa 4g,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
tvs sport,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,range rover sport,range rover sport,486.0,11.0,145.0,range,120.4458064516129
yamaha fz s v 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,mercedes-benz maybach s-class,mercedes-benz maybach s-class,549.5,8.0,277.0,mercedes-benz,179.01666666666668
honda dream yuga,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
honda activa 4g,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
bajaj avenger street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
tvs apache rtr 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar ns 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
hero splender ismart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
hero passion pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
tvs apache rtr 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cb trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
hero splender ismart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
yamaha fz s,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,mercedes-benz maybach s-class,mercedes-benz maybach s-class,549.5,8.0,277.0,mercedes-benz,179.01666666666668
hero passion pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar 135 ls,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cb unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
hero honda cbz extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,honda elevate,honda elevate,119.0,15.5,11.95,honda,12.212
honda karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,honda city hybrid ehev,honda city hybrid ehev,97.0,27.0,20.89,honda,12.212
honda activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
tvs jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,honda city hybrid ehev,honda city hybrid ehev,97.0,27.0,20.89,honda,12.212
hero honda passion pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,honda elevate,honda elevate,119.0,15.5,11.95,honda,12.212
hero splender plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,mercedes-benz amg gt 63 s 4matic plus,mercedes-benz amg gt 63 s 4matic plus,630.0,8.0,270.0,mercedes-benz,179.01666666666668
honda cb shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,honda city hybrid ehev,honda city hybrid ehev,97.0,27.0,20.89,honda,12.212
bajaj discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,discovery,discovery,296.0,10.5,134.0,discovery,120.4458064516129
bajaj pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
suzuki access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
tvs wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
honda cb twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,honda city,honda city,119.0,17.5,12.42,honda,12.212
hero glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
hero super splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
bajaj pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
